"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22380","checkAlloButtonDisplay","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkAlloButtonDisplay"
"","0","getUserAfterUpdateTest","Surefire suite","2026-08-19","broken","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterUpdateTest"
"","4303","createUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","createUserTest"
"","20639","testAlloBuyersSectionVerification","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloBuyersSectionVerification"
"","335","loginUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","loginUserTest"
"","297","getUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserTest"
"","20621","checkFenDisplay","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkFenDisplay"
"","20593","testAlloProductDetailVerification","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloProductDetailVerification"
"","8280","updateUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","updateUserTest"
