"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","357","getUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserTest"
"","351","getUserAfterUpdateTest","Surefire suite","2026-08-19","failed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterUpdateTest"
"","386","getUserAfterDeleteTest","Surefire suite","2026-08-19","failed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterDeleteTest"
"","8372","updateUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","updateUserTest"
"","354","logoutUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","logoutUserTest"
"","395","loginUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","loginUserTest"
"","1446","checkAlloButtonDisplay","Surefire suite","2026-08-19","failed","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkAlloButtonDisplay"
"","20635","testAlloProductDetailVerification","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloProductDetailVerification"
"","20710","checkFenDisplay","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkFenDisplay"
"","4342","createUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","createUserTest"
"","8369","deleteUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","deleteUserTest"
"","20730","testAlloBuyersSectionVerification","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloBuyersSectionVerification"
