"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","loginUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","loginUserTest"
"","298","getUserAfterUpdateTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterUpdateTest"
"","2","openBrowser","Surefire suite","2026-08-18","broken","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","openBrowser"
"","301","getUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserTest"
"","1","checkFenDisplay","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","checkFenDisplay"
"","299","getUserAfterDeleteTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterDeleteTest"
"","8297","deleteUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","deleteUserTest"
"","299","logoutUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","logoutUserTest"
"","1","checkAlloButtonDisplay","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","checkAlloButtonDisplay"
"","0","testAlloBuyersSectionVerification","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloBuyersSectionVerification"
"","8306","updateUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","updateUserTest"
"","4349","createUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","createUserTest"
"","1","testAlloProductDetailVerification","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloProductDetailVerification"
