"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8321","deleteUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","deleteUserTest"
"","293","loginUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","loginUserTest"
"","0","testAlloBuyersSectionVerification","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloBuyersSectionVerification"
"","267","logoutUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","logoutUserTest"
"","290","getUserAfterUpdateTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterUpdateTest"
"","1","openBrowser","Surefire suite","2026-08-18","broken","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","openBrowser"
"","8302","updateUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","updateUserTest"
"","4140","createUserTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","createUserTest"
"","1","checkAlloButtonDisplay","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","checkAlloButtonDisplay"
"","288","getUserTest","Surefire suite","2026-08-18","failed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserTest"
"","297","getUserAfterDeleteTest","Surefire suite","2026-08-18","passed","2026-08-18","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterDeleteTest"
"","1","testAlloProductDetailVerification","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloProductDetailVerification"
"","1","checkFenDisplay","Surefire suite","2026-08-18","skipped","2026-08-18","tests.HomePageTest","Surefire test","tests.HomePageTest","checkFenDisplay"
