"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20662","checkFenDisplay","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkFenDisplay"
"","8037","updateUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","updateUserTest"
"","0","getUserAfterUpdateTest","Surefire suite","2026-08-19","broken","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterUpdateTest"
"","22744","checkAlloButtonDisplay","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkAlloButtonDisplay"
"","38","getUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserTest"
"","4295","createUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","createUserTest"
"","20618","testAlloProductDetailVerification","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloProductDetailVerification"
"","58","loginUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","loginUserTest"
"","20738","testAlloBuyersSectionVerification","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloBuyersSectionVerification"
